emotion,keywords,personality,sentiment_hq_score,sentiment_score,source,summarization,title,url
"{'sadness': 0.3997349143028259, 'anger': 0.21132811903953552, 'fear': 0.1899566501379013, 'joy': 0.12777750194072723, 'surprise': 0.07120280712842941}","{'oil': 0.29551709725928793, 'prices': 0.2842103160867476, 'said': 0.24915806600934395, 'earnings': 0.19796056186593866, 'cash': 0.14254025686460517}","{'extraversion': 0.378154797069097, 'openness': 0.6295779929539866, 'agreeableness': 0.2752600871680075, 'conscientiousness': 0.5883102084713421}",0.7679314,0.601341101,thisismoney,"Booming oil prices handed BP its best results in five years as profits more than doubled.,The energy group raked in revenues of £63billion in the three months to September 30  up from £47.9billion in the same period last year  as the price of Brent crude oil averaged more than $75 a barrel.,It pushed profits up 106 per cent to £3billion for the third quarter.,But BP's gushing earnings come at a time when British drivers are being squeezed at the pumps despite another freeze in fuel duty in this week's Budget.,The recovery in oil prices has pushed petrol prices up to around 130p a litre.",Drivers feel pain as rising oil price boosts BP to its best results in five years | This is Money,https://www.thisismoney.co.uk/money/markets/article-6335319/Drivers-feel-pain-rising-oil-price-boosts-BP-best-results-five-years.html
"{'sadness': 0.3281002640724182, 'anger': 0.31571462750434875, 'joy': 0.1666506826877594, 'fear': 0.1012006476521492, 'surprise': 0.08833380788564682}","{'fuel': 0.4002309489414138, 'wholesale': 0.20736680378578698, 'prices': 0.184075305087637, 'costs': 0.17813409736628932, 'retailers': 0.17499676405959758}","{'extraversion': 0.3309512805130523, 'openness': 0.5769977756192751, 'agreeableness': 0.27202019827407703, 'conscientiousness': 0.6005834399283617}",0.77173316,0.246362585,thisismoney,"Motorists pay an 18 per cent premium each time they fill up with petrol at a motorway services station despite the recent decline in wholesale fuel costs for retailers.,Drivers paid an average of 127.1p a litre for unleaded at supermarket forecourts at the end of September after Asda sparked a price war with rivals by trimming up to 2p a litre off the price of petrol.,In stark comparison, motorists faced staggering average pump prices of 149.6p a litre if they refuelled with petrol at a motorway fuel station at the end of the month, according to the monthly Fuel Watch report by the RAC.,Motorway fuel premium: The RAC said it costs £12 extra on average to refuel an average-sized family car with petrol if you fill up at a motorway services instead of a supermarket forecourt

The difference means the cost of filling an average-sized family car at a supermarket was £69.88, while brimming the same motor at a motorway services was a whopping £82.25 - more than a £12 difference.,It highlights the cost of failing to prepare and having to fill up in an emergency beside the motorway.",Motorists charged 22p a litre extra each time they refuel at motorway services | This is Money,https://www.thisismoney.co.uk/money/cars/article-6234899/Motorists-charged-22p-litre-extra-time-refuel-motorway-services.html
"{'joy': 0.47209256887435913, 'fear': 0.21501681208610535, 'sadness': 0.1735411286354065, 'surprise': 0.09434657543897629, 'anger': 0.04500295966863632}","{'oil': 0.42180740143861944, 'said': 0.21551598963753585, 'cash': 0.1817089395705359, 'higher': 0.15586829557835602, 'shale': 0.14477403160684163}","{'extraversion': 0.4117537153474355, 'openness': 0.6323752676215126, 'agreeableness': 0.3109339747512549, 'conscientiousness': 0.6746941234531074}",0.95182484,0.99559975,thisismoney,"BP more than doubled profits in the third quarter thanks to rising oil prices, as it prepares to complete its biggest acquisition in 20 years tomorrow.,It comes as BP is set to seal its £8billion acquisition of BHP Billiton's shale operations in Texas and Louisiana tomorrow.,Rising profits: BP said it will now fund the acquisition of BHP shale gas operations in cash rather than using part cash and part equity as it previously expected

The group said that, assuming oil prices remain firm, it will fund the acquisition in cash rather than using part cash and part equity as it previously expected.,Shares in heavyweight BP rose 3.6 per cent to 554p in morning trading, lifting the FTSE 100 higher.,Oil and gas production during the third quarter averaged 3.6million barrels of oil per day.",BP profits more than double thanks to rising oil prices as it completes BHP acquisition tomorrow | This is Money,https://www.thisismoney.co.uk/money/markets/article-6332515/BP-profits-double-thanks-rising-oil-prices-completes-BHP-acquisition-tomorrow.html
"{'sadness': 0.36490029096603394, 'joy': 0.23955053091049194, 'fear': 0.15158355236053467, 'anger': 0.12483012676239014, 'surprise': 0.1191355288028717}","{'gas': 0.3353985355546747, 'shell': 0.2343772732643516, 'project': 0.20038069888028728, 'said': 0.18248198370804147, 'right': 0.16899809458256115}","{'extraversion': 0.4391917068574388, 'openness': 0.665421645496493, 'agreeableness': 0.3615545834365644, 'conscientiousness': 0.542352124706082}",0.44421887,0.790559826,thisismoney,"Deal: Canadian leader Justin Trudeau embraces Shell Gas boss Maarten Wetselaar

Shell has given the go-ahead for a £23.9billion project to sell gas from Canada around the world.,The first liquefied natural gas (LNG) from the LNG Canada project is expected before 2025, ahead of a likely boom in demand for the fuel from buyers in China especially.,Shipping times to parts of Asia from Canada are about 40 per cent faster than from the US Gulf Coast, the oil supermajor said, giving the project a key advantage.,Anglo-Dutch Shell's partners on the project are Malaysia's Petroliam Nasional, Petro China, Korea Gas Corp and Japan's Mitsubishi.,Shell has a 40 per cent stake in the project.",Shell gets go-ahead for a £24bn project to sell Canadian gas around the world  | This is Money,https://www.thisismoney.co.uk/money/markets/article-6232791/Shell-gets-ahead-24bn-project-sell-Canadian-gas-world.html
"{'sadness': 0.3283173143863678, 'surprise': 0.19859668612480164, 'joy': 0.19808144867420197, 'fear': 0.13788318634033203, 'anger': 0.137121319770813}","{'diesel': 0.28893731062205186, 'price': 0.2685031960429784, 'million': 0.23240189372963302, 'prices': 0.21400473815930238, 'recent': 0.20150688214013535}","{'extraversion': 0.34518419281911045, 'openness': 0.6148251010992817, 'agreeableness': 0.31799555138537755, 'conscientiousness': 0.5675665770453968}",0.48721895,0.181177992,thisismoney,"Thirteen million motorists have been hit with a 14th consecutive week of fuel price rises, it has been confirmed on Tuesday.,The average cost of a litre of diesel in the UK has risen to £1.36, according to the latest Government figures.,Diesel price rise: The cost of diesel has risen every week since July 2, new government data shows

Although sales of new diesel cars have fallen in recent months amid concern over emissions, there are still 13 million diesel cars registered for use on UK roads.,Both diesel and petrol prices have spiralled in recent weeks, reaching a four-year high.,Over the past six months the cost of filling up a typical 55-litre family car that runs on petrol or diesel has risen by around £6.",Diesel owners hit with 14th consecutive week of fuel price rises | This is Money,https://www.thisismoney.co.uk/money/cars/article-6256013/Millions-motorists-hit-14th-consecutive-week-fuel-price-rises.html
"{'anger': 0.4729346036911011, 'fear': 0.20443683862686157, 'sadness': 0.18556493520736694, 'joy': 0.09727304428815842, 'surprise': 0.039790596812963486}","{'oil': 0.5343874514772804, 'slashed': 0.2907934987739575, 'shares': 0.28536094063371076, 'companies': 0.2750754276723298, 'barrel': 0.25018413206032103}","{'extraversion': 0.30016727290921297, 'openness': 0.6660497469879756, 'agreeableness': 0.27623746321912396, 'conscientiousness': 0.5869157672270962}",0.28546125,0.751432641,thisismoney,"Video: Will oil shares rise as the price of a barrel climbs?,The oil price has risen sharply to $80 after hitting lows of around $30 a barrel in 2016.,At that time oil companies slashed costs, so will they now profit?",Will oil shares rise as the price of a barrel climbs? | This is Money,https://www.thisismoney.co.uk/video/money/video-1780516/Will-oil-shares-rise-price-barrel-climbs.html
"{'anger': 0.45153123140335083, 'sadness': 0.3246353566646576, 'fear': 0.11704814434051514, 'joy': 0.06166614592075348, 'surprise': 0.04511908441781998}","{'oil': 0.3361825910022875, 'wti': 0.19805598096411142, 'energy': 0.18442784544932003, 'benchmark': 0.15698431312899205, 'additional': 0.1486382180718722}","{'extraversion': 0.30682841195898547, 'openness': 0.6704587181594884, 'agreeableness': 0.28632200339384245, 'conscientiousness': 0.6247340540091196}",0.24816597,0.071627981,The motley fool,"Because of the wide spread between Brent and the North American benchmark West Texas Intermediate (WTI), there is every indication that WTI could tumble below US$50 a barrel at any moment.,This is generating considerable pessimism in energy markets, particularly because many of the factors that were expected to have a bullish effect on the price of crude have had no positive…

I consent to receiving information from The Motley Fool via email, direct mail, and occasional special offer phone calls.,I understand I can unsubscribe from these updates at any time.,Please read the Privacy Statement and Terms of Service for more information.,There are fears that a new oil glut has emerged, which is weighing heavily on prices.",Has Crude Slipped Into a New Bear Market?,https://www.fool.ca/2018/11/23/has-crude-slipped-into-a-new-bear-market/
"{'anger': 0.3184415102005005, 'sadness': 0.29738378524780273, 'joy': 0.1966618448495865, 'fear': 0.13988690078258514, 'surprise': 0.04762595146894455}","{'energy': 0.22900472069329209, 'prices': 0.2260341479710732, 'baytex': 0.18540073035208948, 'november': 0.1720556998083476, 'oil': 0.1702057104730313}","{'extraversion': 0.4323179850638923, 'openness': 0.6285863878013931, 'agreeableness': 0.3249647340230774, 'conscientiousness': 0.6395892499164603}",0.940721,0.419738799,The motley fool,"Oil and gas prices have sharply corrected over the past month.,The price of WTI Crude was at $54 as of the early morning on November 22.,Western Canadian Select, which has suffered huge declines in 2018, dropped to $11 on November 20.,The crisis is real for Canadian energy giants, as demonstrated by the decline in share prices.,It is down 17% in 2018 so far.",Why Energy Stocks Are Crashing This Fall,https://www.fool.ca/2018/11/24/why-energy-stocks-are-crashing-this-fall/
"{'sadness': 0.4818739593029022, 'surprise': 0.16092196106910706, 'anger': 0.14949700236320496, 'joy': 0.11956348270177841, 'fear': 0.08814359456300735}","{'oil': 0.3482672751842479, 'term': 0.18596224724586333, 'stock': 0.12763538366085547, 'prices': 0.12486792266981957, 'year': 0.12317609263360106}","{'extraversion': 0.3567534773531607, 'openness': 0.6398161580072385, 'agreeableness': 0.3125666855720051, 'conscientiousness': 0.656758329135248}",0.9404155,0.942741925,The motley fool,"If you are looking for oil stocks to buy right now, then you need to do a deep dive into Devon Energy Corporation (NYSE:DVN), ExxonMobil Corporation (NYSE:XOM), and Royal Dutch Shell PLC (NYSE:RDS-B).,Exxon and Shell have been treading water all year, despite improving underlying conditions both in the oil market and within their respective businesses.,A recent sell-off has made both worth a second look today.,In the near term, Shell is benefiting from high oil prices.,Of course, oil is still going to be Shell's primary product for years to come.",3 Top Oil Stocks to Buy Right Now,https://www.fool.com/investing/2018/10/28/3-top-oil-stocks-to-buy-right-now.aspx
"{'joy': 0.31452465057373047, 'sadness': 0.2625308036804199, 'surprise': 0.19271531701087952, 'anger': 0.12378670275211334, 'fear': 0.10644252598285675}","{'oil': 0.5122381598019149, 'bpd': 0.2762211145416623, 'production': 0.24954729860887342, 'growth': 0.21644641503640236, 'nyse': 0.16871289322131955}","{'extraversion': 0.31275182432037285, 'openness': 0.6816374815513039, 'agreeableness': 0.344074807668987, 'conscientiousness': 0.6204200035881723}",0.9953322,0.920091594,The motley fool,"In 2017, the United States came out on top as the leading global producer of oil and other petroleum liquids.,What's unique about the oil market in America is that it isn't dominated by one national oil company, as is the case for most of the members of OPEC.,It's that Permian oil growth engine that makes Chevron such a compelling stock.,The largest portion of that production came from the Eagle Ford, where the company is the top oil producer, pumping out an average of 157,000 BPD in 2017.,That's why investors should take a closer look at the country's largest oil companies, since they could produce a gusher of profits as production grows and oil prices rise.",These Are the Biggest Oil Producers in the United States,https://www.fool.com/investing/2018/11/24/the-biggest-oil-producers-in-the-united-states.aspx
"{'joy': 0.3350551128387451, 'fear': 0.23296883702278137, 'sadness': 0.22501280903816223, 'anger': 0.17788326740264893, 'surprise': 0.02907995693385601}","{'oil': 0.41401708055946845, 'price': 0.23488767482337441, 'market': 0.16031337165204837, 'fool': 0.14962228373994596, 'good': 0.143862963433782}","{'extraversion': 0.3110117243003037, 'openness': 0.6879516525246273, 'agreeableness': 0.27564816046179386, 'conscientiousness': 0.5837350914190556}",0.92227626,0.747725366,The motley fool,"You probably already know that the price of Brent Crude oil has fallen by around 30% since…

As a shareholder, I have a keen interest in this situation.,So today I'm going to take a fresh look at Premier.,It's been a painful few weeks for Premier Oil (LSE: PMO) shareholders.,The oil and gas producer's share price has fallen by more than 50% since the start of October, when it hit a 52-week high of 146p.,Each of these emails will provide a link to unsubscribe from future emails.",Is it game over for the Premier Oil share price?,https://www.fool.co.uk/investing/2018/11/24/is-it-game-over-for-the-premier-oil-share-price/
"{'sadness': 0.33690065145492554, 'anger': 0.29304906725883484, 'fear': 0.16688518226146698, 'joy': 0.10638489574193954, 'surprise': 0.09678025543689728}","{'oil': 0.43299533191282924, 'canada': 0.23446230383437694, 'crude': 0.19401498324651767, 'energy': 0.19267177180644016, 'capacity': 0.15681211035396075}","{'extraversion': 0.3281720265493555, 'openness': 0.6309451332716184, 'agreeableness': 0.31465265834540646, 'conscientiousness': 0.6751365740408842}",0.26842728,0.0809328,The motley fool,"With crude oil prices in a free fall on speculations that OPEC members won't be able to cut output, the oil outlook has suddenly become very uncertain.,Canada has its own problems.,I understand I can unsubscribe from these updates at any time.,In Canada, Husky operates oil sands facilities in western Canada and offshore developments in the Atlantic.,The same goes for Canada's oil patch.",Canada's Top Stocks to Buy Amid the Ongoing Oil Rout,https://www.fool.ca/2018/11/21/canadas-top-stocks-to-buy-amid-the-ongoing-oil-rout/
"{'surprise': 0.32317790389060974, 'joy': 0.23910164833068848, 'sadness': 0.22402873635292053, 'fear': 0.1598333716392517, 'anger': 0.05385839194059372}","{'said': 0.3022672398143417, 'supply': 0.24176116200697623, 'oil': 0.19992506495319998, 'futures': 0.1677217523874897, 'crude': 0.1627351994800622}","{'extraversion': 0.39558538718748903, 'openness': 0.6839861073226572, 'agreeableness': 0.37578779981847393, 'conscientiousness': 0.5836289787086947}",0.8587734,0.646725976,yahoofinance,"REUTERS/Bruno Kelly

By Andres Guerra Luz

NEW YORK (Reuters) - Oil prices rose on Monday, with U.S. crude futures jumping more than 2 percent, as traders continued to focus on supply disruptions and a possible hit to crude output from U.S. sanctions on Iran.,October Brent crude futures (LCOV8), the most actively traded contract, settled at $75.55 a barrel, up 79 cents.,The September Brent contract, which expires on Tuesday, settled at $74.97, up 68 cents, or 0.9 percent.,""That's why you're seeing WTI rise."",Further supply increases could offset production outages and pressure prices.",Oil rises on tight supply outlook,https://finance.yahoo.com/news/oil-prices-mixed-wti-gains-011349746.html
