emotion,keywords,personality,sentiment_hq_score,sentiment_score,source,summarization,title,url,thumbnail
"{'sadness': 0.44045236706733704, 'joy': 0.25568482279777527, 'fear': 0.1555425524711609, 'surprise': 0.10391265153884888, 'anger': 0.04440757632255554}","{'bitcoin': 0.42488370195361513, 'cryptocurrencies': 0.1670351473247117, 'digital': 0.16661718752854426, 'cryptocurrency': 0.16661718752854376, 'prices': 0.1578784373321144}","{'extraversion': 0.4428564762159929, 'openness': 0.6978372076404428, 'agreeableness': 0.3487395398449479, 'conscientiousness': 0.5604069399080057}",0.3333952,0.428731637,investopedia,"Heading into the first days of February 2018, cryptocurrencies were down across the board.,A slew of news stories may have negatively impacted prices on most of the top cryptocurrencies, including bitcoin, ethereum, and ripple.,In addition, a growing suspicion that popular bitcoin exchange Bitfinex may have propped up the price of the leading digital currency has some investors concerned as well.,(See also: Who Is Roger Ver, aka ""Bitcoin Jesus""?),It was a tough week for other cryptocurrencies making up the top 20 digital currencies by market cap.",Cryptocurrency Winners and Losers This Week,https://www.investopedia.com/news/cryptocurrency-winners-and-losers-week/,https://i.investopedia.com/facebook/investopedia-facebook-image.gif
"{'joy': 0.3894217610359192, 'fear': 0.22768735885620117, 'sadness': 0.1867525428533554, 'surprise': 0.11956848204135895, 'anger': 0.07656988501548767}","{'steinbrugge': 0.28459646429517627, 'cryptocurrency': 0.2647515094380033, 'hedge': 0.26124625094427156, 'new': 0.23729997268460906, 'funds': 0.23424257674942978}","{'extraversion': 0.5536136951739506, 'openness': 0.6851988039284109, 'agreeableness': 0.31385010114887296, 'conscientiousness': 0.5909022802765342}",0.6104574,0.536791245,investopedia,"In fact, as cryptocurrency interest among everyday investors has surged over the past year, the number of cryptocurrency-focused hedge funds launched has also climbed.,(See also: Cryptocurrency Hedge Funds Gained More Than 1,000% In 2017.),A Venture Capital Approach

Many of the new cryptocurrency hedge funds have adopted an approach familiar to venture capital firms.,The entire hedge fund industry worldwide stands at roughly $3 trillion in assets under management.,Those who are investing in cryptocurrency just because it went up are basically gambling,"" Steinbrugge said.",Cryptocurrency Hedge Funds Still On the Rise,https://www.investopedia.com/news/cryptocurrency-hedge-funds-still-rise/,https://i.investopedia.com/facebook/investopedia-facebook-image.gif
"{'sadness': 0.45927420258522034, 'joy': 0.23263423144817352, 'anger': 0.14490720629692078, 'fear': 0.1128040999174118, 'surprise': 0.05038025975227356}","{'price': 0.2698005690566452, 'bitcoin': 0.22933234707855932, 'digital': 0.1834029857800106, 'cryptocurrency': 0.17426613714231176, 'currency': 0.15041732957451487}","{'extraversion': 0.5053024062160718, 'openness': 0.6947796439456048, 'agreeableness': 0.3630522573203371, 'conscientiousness': 0.5646273320776293}",0.29177535,0.230680604,investopedia,"The last few months of 2017 seemed too good to be true for many digital currencies.,Bitcoin soared throughout the year, topping out at nearly $20,000 per coin at its highest point.,More investors hopped on board the digital currency train in an effort to make quick money.,But now, in the first few weeks of 2018, we've seen many of the top digital currencies impacted by a severe slump.,(See more: South Korea to Ban Anonymous Cryptocurrency Trading.)",What's Behind the Latest Cryptocurrency Price Slump?,https://www.investopedia.com/news/whats-behind-latest-cryptocurrency-slump/,https://i.investopedia.com/facebook/investopedia-facebook-image.gif
"{'anger': 0.49257972836494446, 'sadness': 0.17192617058753967, 'joy': 0.1562996804714203, 'fear': 0.1351621150970459, 'surprise': 0.04403229057788849}","{'bitcoin': 0.46726595273816784, 'currency': 0.24558609165819498, 'government': 0.13729667792235473, 'money': 0.1355480051588649, 'value': 0.13170422530133521}","{'extraversion': 0.4268747036487369, 'openness': 0.7310020826130269, 'agreeableness': 0.30857341122208976, 'conscientiousness': 0.539400901859519}",0.9531308,0.790333328,investopedia,"Cryptocurrency made the leap from being an academic concept to (virtual) reality with the creation of Bitcoin in 2009.,Bitcoin sported a market value of over $2 billion at its peak, but a 50% plunge shortly thereafter sparked a raging debate about the future of cryptocurrencies in general and Bitcoin in particular.,The answer lies with Bitcoin.,Like Bitcoin, Ripple is both a currency and a payment system.,Conclusion

The emergence of Bitcoin has sparked a debate about its future and that of other cryptocurrencies.",The Future Of Cryptocurrency,https://www.investopedia.com/articles/forex/091013/future-cryptocurrency.asp,https://i.investopedia.com/facebook/investopedia-facebook-image.gif
"{'sadness': 0.4991765022277832, 'surprise': 0.16413426399230957, 'fear': 0.13860146701335907, 'joy': 0.12108533829450607, 'anger': 0.07700244337320328}","{'management': 0.2451022454328815, 'bush': 0.17392219702349915, 'nvidia': 0.17336375560748393, 'quarter': 0.16902306228474473, 'term': 0.16558927870050635}","{'extraversion': 0.4094104499129925, 'openness': 0.6193563576056578, 'agreeableness': 0.3375919419422484, 'conscientiousness': 0.551529157435757}",0.24957767,0.073597722,The motley fool,"In this segment from Motley Fool Money, host Chris Hill and analysts Aaron Bush, Matt Argersinger, and Jason Moser explain how NVIDIA management erred in its production and inventory strategies, even as the surge of purchasing by cryptocurrency miners faded out and left huge oversupplies of the company's overpriced graphics processing units on retailers' shelves.,A full transcript follows the video.,Chris Hill: Another rough week for Nvidia.,Gamers were not buying those chips at higher prices.,Two quarters ago, they were growing 40%.","NVIDIA Lives by the Crypto, Then Dives by the Crypto",https://www.fool.com/investing/2018/11/23/nvidia-lives-by-the-crypto-then-dives-by-the-crypt.aspx,https://andrewhudsonsjobslist.com/app/jobs/company/5ba2409e25ff8c316de2bbca/logo?ts=1537360060
"{'anger': 0.2547076642513275, 'sadness': 0.24511399865150452, 'joy': 0.22987058758735657, 'surprise': 0.1472315937280655, 'fear': 0.12307612597942352}","{'hive': 0.2397921949595129, 'mining': 0.22680258588612084, 'cryptocurrency': 0.19129430938561404, 'power': 0.1657071070443981, 'blockchain': 0.16564700033104302}","{'extraversion': 0.3603281015056675, 'openness': 0.6975548492970867, 'agreeableness': 0.2930088581746084, 'conscientiousness': 0.5757174426796793}",0.83347505,0.834394644,The motley fool,"Hive Blockchain Technologies Ltd. (TSXV:HIVE) is one intriguing cryptocurrency mining stock to grace the TSX Venture exchange this year.,The stock's debut as a blockchain-related investment was, however, spectacular, and the subsequent 600% gains in 35 trading days were eye popping.,The firm is supported by Genesis Mining Ltd, one of the most successful blockchain technology leaders in the world with heavy investments in cryptocurrency-mining “rigs” in business-friendly Iceland (and other undisclosed sites) and a well-experienced team in cryptocurrency-mining ventures.,I understand I can unsubscribe from these updates at any time.,The business may not be that viable if general cryptocurrency prices stagnate or, at worst, fall.",Hive Blockchain Technologies Ltd.: The Volatile Rise of a Cryptocurrency Mining Stock,https://www.fool.ca/2017/12/07/hive-blockchain-technologies-ltd-the-volatile-rise-of-a-cryptocurrency-mining-stock/,https://andrewhudsonsjobslist.com/app/jobs/company/5ba2409e25ff8c316de2bbca/logo?ts=1537360061
"{'anger': 0.3466477394104004, 'sadness': 0.3160613179206848, 'fear': 0.16067594289779663, 'joy': 0.10675516724586487, 'surprise': 0.0698598101735115}","{'company': 0.26624237250641014, 'blockchain': 0.19305328680755185, 'mining': 0.1640800027706623, 'currency': 0.1585334649789299, 'significantly': 0.1584448642869848}","{'extraversion': 0.49723913507946466, 'openness': 0.7113088776018017, 'agreeableness': 0.3196657028114586, 'conscientiousness': 0.5410711056199567}",0.9586506,0.247949016,The motley fool,"Cryptocurrencies and Bitcoin are once again in the news.,After dropping significantly over the past few months, new investors seem to be pushing cryptocurrencies up.,The rise in price may once again open the way to make money in the space.,One to consider is to buy into publicly listed companies that benefit from a rise in currency value  companies that are involved in the business have fallen significantly, sometimes even more than the actual currencies.,Nevertheless, HIVE provides investors with an interesting way to participate in blockchain and cryptocurrencies.",Ride the Cryptocurrency and Blockchain Craze With HIVE Blockchain Technologies Ltd. (TSXV:HIVE),https://www.fool.ca/2018/07/18/ride-the-cryptocurrency-and-blockchain-craze-with-hive-blockchain-technologies-ltd-tsxvhive/,https://andrewhudsonsjobslist.com/app/jobs/company/5ba2409e25ff8c316de2bbca/logo?ts=1537360062
"{'sadness': 0.4386481046676636, 'anger': 0.24231047928333282, 'fear': 0.14214199781417847, 'joy': 0.11499300599098206, 'surprise': 0.061906442046165466}","{'bitcoin': 0.37458051258736075, 'blockchain': 0.1824109037011577, 'cryptocurrency': 0.1631022630041958, 'big': 0.16310226300419528, 'investors': 0.16310226300419473}","{'extraversion': 0.39339564639632985, 'openness': 0.7160276792873844, 'agreeableness': 0.3129413713488662, 'conscientiousness': 0.5527619108043867}",0.006860544,0.000982,The motley fool,"The Bitcoin craze has started to fade, and the cryptocurrency has declined nearly 40% in just the past three months.,After reaching nearly US$20,000 back in December, Bitcoin has fallen to under US$8,000 this past week.,While the cryptocurrency has seen some rallies this year, it has not been able to get anywhere near the highs that it reached in 2017.,The big question for investors is whether or not the cryptocurrency can sustain a rally and go back on the ascent.,Banks have also taken steps to discourage buying Bitcoin by disallowing cryptocurrency purchases via credit card.",Bitcoin Investors: Is There Any Hope of a Rally for the Cryptocurrency?,https://www.fool.ca/2018/03/30/bitcoin-investors-is-there-any-hope-of-a-rally-for-the-cryptocurrency/,https://andrewhudsonsjobslist.com/app/jobs/company/5ba2409e25ff8c316de2bbca/logo?ts=1537360063
"{'anger': 0.3684389889240265, 'sadness': 0.2591586112976074, 'fear': 0.1432591676712036, 'joy': 0.14283883571624756, 'surprise': 0.08630436658859253}","{'long': 0.28128184140170664, 'blockchain': 0.20315255722439873, 'cryptocurrency': 0.17925790709441103, 'markets': 0.16481488897500943, 'investors': 0.1576547261750621}","{'extraversion': 0.4363308492100845, 'openness': 0.6915952652414269, 'agreeableness': 0.3250408878451899, 'conscientiousness': 0.6306063895081652}",0.20119104,0.095308188,The motley fool,"That being said, in a number of articles I written of late, I've cautioned investors to consider two very prominent bubbles that…

I consent to receiving information from The Motley Fool via email, direct mail, and occasional special offer phone calls.,I understand I can unsubscribe from these updates at any time.,Please read the Privacy Statement and Terms of Service for more information.,Register by giving us your email below to continue reading all of the content on the site.,The company instead indicated it will be focusing on developing the blockchain technology that underpins cryptocurrency, noting it is still in talks to merge with Stater Blockchain Ltd., a British firm operating in this space.",The Cryptocurrency Bubble Is Deflating. Case in Point: Long Blockchain Corp.,https://www.fool.ca/2018/02/05/the-cryptocurrency-bubble-is-deflating-case-in-point-long-blockchain-corp/,https://andrewhudsonsjobslist.com/app/jobs/company/5ba2409e25ff8c316de2bbca/logo?ts=1537360064
"{'anger': 0.3785061240196228, 'sadness': 0.30245092511177063, 'fear': 0.15535441040992737, 'joy': 0.08469171077013016, 'surprise': 0.07899683713912964}","{'bitcoin': 0.23381694865721347, 'finally': 0.17547749226198217, 'stay': 0.17206847945790177, 'cryptocurrency': 0.1521414320368, 'cryptocurrencies': 0.14520726852195204}","{'extraversion': 0.40309048797619546, 'openness': 0.7777478137863015, 'agreeableness': 0.2814743189435256, 'conscientiousness': 0.45399701209931537}",0.023878008,0.009668715,The motley fool,"Bitcoin is a mania that we probably haven't seen since the 17th century Tulip bulb fever.,Cryptocurrencies and blockchain are likely the future, but there are too many difficult problems that still need to be solved if these technologies are going to become mainstream.,Many illegal operations are going on in the world of Bitcoin, and the process of Bitcoin mining is way too environmentally unfriendly to have a sustainable future.,In addition, Bitcoin isn't even…

I consent to receiving information from The Motley Fool via email, direct mail, and occasional special offer phone calls.,Bitcoin isn't the cryptocurrency of the future, and all the ones you've heard of probably aren't either.",2018 New Year's Resolution: Avoid All Things Cryptocurrency Like the Plague,https://www.fool.ca/2017/12/28/2018-new-years-resolution-avoid-all-things-cryptocurrency-like-the-plague/,https://andrewhudsonsjobslist.com/app/jobs/company/5ba2409e25ff8c316de2bbca/logo?ts=1537360065
"{'anger': 0.41611865162849426, 'sadness': 0.2948547899723053, 'fear': 0.15594297647476196, 'joy': 0.08435653150081635, 'surprise': 0.04872705787420273}","{'administrative': 0.20568595473918413, 'high': 0.19095567268323296, 'increasingly': 0.1655360906598041, 'email': 0.15444815162659578, 'traditional': 0.1544481516265955}","{'extraversion': 0.3865143964856358, 'openness': 0.7264042555171752, 'agreeableness': 0.32924729533362806, 'conscientiousness': 0.5528309143137657}",0.9638099,0.465271132,The motley fool,"In the last couple of years, there has been a considerable amount of interest in bitcoin.,The virtual currency has increased significantly in value, but has also been exceptionally volatile.,However, with bitcoin seeming to lack real-world potential in terms of its application, its appeal could be relatively limited over the long term.,However, the application of AI is far wider than simple administrative tasks.,AI's applications, therefore, are not only focused on profit.",Forget Bitcoin! I Think Artificial Intelligence Could Be The Next Big Growth Sector,https://www.fool.ca/2018/11/18/forget-bitcoin-i-think-artificial-intelligence-could-be-the-next-big-growth-sector/,https://andrewhudsonsjobslist.com/app/jobs/company/5ba2409e25ff8c316de2bbca/logo?ts=1537360066
"{'anger': 0.425436794757843, 'sadness': 0.34827160835266113, 'fear': 0.13724616169929504, 'joy': 0.04690663889050484, 'surprise': 0.04213879629969597}","{'high': 0.25298633304746543, 'bitcoin': 0.1882174693665474, 'investing': 0.16137379205655317, 'email': 0.14082052398592135, 'got': 0.13561299524280399}","{'extraversion': 0.5502515687780866, 'openness': 0.6965123598820696, 'agreeableness': 0.31800045151459544, 'conscientiousness': 0.5400346699117244}",0.018250408,0.001653685,The motley fool,"There's been a little less talk and hype over the last week, but people are still talking about it.,I think investing in Bitcoin is a terrible idea, and the most important reason why is this: never invest in something you do not understand.,This should always be your number-one mantra when it comes to investing your precious dollars.,The Bitcoin craze looks like many other ill-fated investments.,They believed they had “safe” investments.",The Most Important Reason to Stay Away From Bitcoin and Other Cryptocurrency,https://www.fool.ca/2017/12/18/the-most-important-reason-to-stay-away-from-bitcoin-and-other-cryptocurrency/,https://andrewhudsonsjobslist.com/app/jobs/company/5ba2409e25ff8c316de2bbca/logo?ts=1537360067
"{'sadness': 0.5003098249435425, 'anger': 0.3095400035381317, 'fear': 0.16146458685398102, 'joy': 0.01764269359409809, 'surprise': 0.01104286964982748}","{'crypto': 0.4101114693519609, 'stay': 0.15805960474721492, 'like': 0.1488702391515919, 'email': 0.14747627105489525, 'blockchain': 0.12782017633175946}","{'extraversion': 0.4725547695564012, 'openness': 0.6730572079943719, 'agreeableness': 0.34067937052040764, 'conscientiousness': 0.6009340279403774}",0.38276735,0.336027093,The motley fool,"I have no idea how investors in cryptocurrencies manage to get any sleep at night.,It doesn't matter which “coin” you're investing in; if a substantial amount of your portfolio is devoted to crypto, despite recent warnings from pundits like Warren Buffett, you're in for a stomach-churning roller-coaster ride.,But hats off to you; you've probably got guts.,What you're really doing is gambling, but unlike putting your coins in a slot machine and pulling the lever, you're choosing…

I consent to receiving information from The Motley Fool via email, direct mail, and occasional special offer phone calls.,The crypto craze is very compelling.",Cryptocurrency Investing Is Quickly Turning Into an Eternal Waking Nightmare,https://www.fool.ca/2018/01/15/cryptocurrency-investing-is-quickly-turning-into-an-eternal-waking-nightmare/,https://andrewhudsonsjobslist.com/app/jobs/company/5ba2409e25ff8c316de2bbca/logo?ts=1537360068
"{'sadness': 0.5426772832870483, 'anger': 0.2772335708141327, 'fear': 0.13307978212833405, 'joy': 0.03439153730869293, 'surprise': 0.012617804110050201}","{'bitcoin': 0.25249037605349484, 'blockchain': 0.19076443587172615, 'investors': 0.18691968090901395, 'cryptocurrencies': 0.15592118224588375, 'prices': 0.1325108105488513}","{'extraversion': 0.47729129861977154, 'openness': 0.6986130966204348, 'agreeableness': 0.297909282801444, 'conscientiousness': 0.59035181964951}",0.6067851,0.704784721,The motley fool,"The irrational exuberance surrounding Bitcoin and other cryptocurrencies is growing at a furious pace.,In only a month, the revolutionary digital currency has incredibly more than doubled to be trading at over US$16,000 giving it a market cap of US$276 billion.,While prominent investors, including Warren Buffett and Ray Dalio, claim that Bitcoin is massively overvalued, and there are signs that it is…

I consent to receiving information from The Motley Fool via email, direct mail, and occasional special offer phone calls.,I understand I can unsubscribe from these updates at any time.,That essentially makes it a high-risk bet on cryptocurrencies and their sky-high valuations.",Understanding the Psychology of Bitcoin and the Cryptocurrency Bubble,https://www.fool.ca/2017/12/11/understanding-the-psychology-of-bitcoin-and-the-cryptocurrency-bubble/,https://andrewhudsonsjobslist.com/app/jobs/company/5ba2409e25ff8c316de2bbca/logo?ts=1537360069
